DateID,FullDate,Year,Month,Quarter,WeekdayName
1,2023-01-01,2023,1,1,Sunday
2,2023-01-02,2023,1,1,Monday
3,2023-01-03,2023,1,1,Tuesday
4,2023-01-04,2023,1,1,Wednesday
5,2023-01-05,2023,1,1,Thursday
6,2023-01-06,2023,1,1,Friday
7,2023-01-07,2023,1,1,Saturday
8,2023-01-08,2023,1,1,Sunday
9,2023-01-09,2023,1,1,Monday
10,2023-01-10,2023,1,1,Tuesday
11,2023-01-11,2023,1,1,Wednesday
12,2023-01-12,2023,1,1,Thursday
13,2023-01-13,2023,1,1,Friday
14,2023-01-14,2023,1,1,Saturday
15,2023-01-15,2023,1,1,Sunday
16,2023-01-16,2023,1,1,Monday
17,2023-01-17,2023,1,1,Tuesday
18,2023-01-18,2023,1,1,Wednesday
19,2023-01-19,2023,1,1,Thursday
20,2023-01-20,2023,1,1,Friday
21,2023-01-21,2023,1,1,Saturday
22,2023-01-22,2023,1,1,Sunday
23,2023-01-23,2023,1,1,Monday
24,2023-01-24,2023,1,1,Tuesday
25,2023-01-25,2023,1,1,Wednesday
26,2023-01-26,2023,1,1,Thursday
27,2023-01-27,2023,1,1,Friday
28,2023-01-28,2023,1,1,Saturday
29,2023-01-29,2023,1,1,Sunday
30,2023-01-30,2023,1,1,Monday
31,2023-01-31,2023,1,1,Tuesday
32,2023-02-01,2023,2,1,Wednesday
33,2023-02-02,2023,2,1,Thursday
34,2023-02-03,2023,2,1,Friday
35,2023-02-04,2023,2,1,Saturday
36,2023-02-05,2023,2,1,Sunday
37,2023-02-06,2023,2,1,Monday
38,2023-02-07,2023,2,1,Tuesday
39,2023-02-08,2023,2,1,Wednesday
40,2023-02-09,2023,2,1,Thursday
41,2023-02-10,2023,2,1,Friday
42,2023-02-11,2023,2,1,Saturday
43,2023-02-12,2023,2,1,Sunday
44,2023-02-13,2023,2,1,Monday
45,2023-02-14,2023,2,1,Tuesday
46,2023-02-15,2023,2,1,Wednesday
47,2023-02-16,2023,2,1,Thursday
48,2023-02-17,2023,2,1,Friday
49,2023-02-18,2023,2,1,Saturday
50,2023-02-19,2023,2,1,Sunday
51,2023-02-20,2023,2,1,Monday
52,2023-02-21,2023,2,1,Tuesday
53,2023-02-22,2023,2,1,Wednesday
54,2023-02-23,2023,2,1,Thursday
55,2023-02-24,2023,2,1,Friday
56,2023-02-25,2023,2,1,Saturday
57,2023-02-26,2023,2,1,Sunday
58,2023-02-27,2023,2,1,Monday
59,2023-02-28,2023,2,1,Tuesday
60,2023-03-01,2023,3,1,Wednesday
61,2023-03-02,2023,3,1,Thursday
62,2023-03-03,2023,3,1,Friday
63,2023-03-04,2023,3,1,Saturday
64,2023-03-05,2023,3,1,Sunday
65,2023-03-06,2023,3,1,Monday
66,2023-03-07,2023,3,1,Tuesday
67,2023-03-08,2023,3,1,Wednesday
68,2023-03-09,2023,3,1,Thursday
69,2023-03-10,2023,3,1,Friday
70,2023-03-11,2023,3,1,Saturday
71,2023-03-12,2023,3,1,Sunday
72,2023-03-13,2023,3,1,Monday
73,2023-03-14,2023,3,1,Tuesday
74,2023-03-15,2023,3,1,Wednesday
75,2023-03-16,2023,3,1,Thursday
76,2023-03-17,2023,3,1,Friday
77,2023-03-18,2023,3,1,Saturday
78,2023-03-19,2023,3,1,Sunday
79,2023-03-20,2023,3,1,Monday
80,2023-03-21,2023,3,1,Tuesday
81,2023-03-22,2023,3,1,Wednesday
82,2023-03-23,2023,3,1,Thursday
83,2023-03-24,2023,3,1,Friday
84,2023-03-25,2023,3,1,Saturday
85,2023-03-26,2023,3,1,Sunday
86,2023-03-27,2023,3,1,Monday
87,2023-03-28,2023,3,1,Tuesday
88,2023-03-29,2023,3,1,Wednesday
89,2023-03-30,2023,3,1,Thursday
90,2023-03-31,2023,3,1,Friday
91,2023-04-01,2023,4,2,Saturday
92,2023-04-02,2023,4,2,Sunday
93,2023-04-03,2023,4,2,Monday
94,2023-04-04,2023,4,2,Tuesday
95,2023-04-05,2023,4,2,Wednesday
96,2023-04-06,2023,4,2,Thursday
97,2023-04-07,2023,4,2,Friday
98,2023-04-08,2023,4,2,Saturday
99,2023-04-09,2023,4,2,Sunday
100,2023-04-10,2023,4,2,Monday
101,2023-04-11,2023,4,2,Tuesday
102,2023-04-12,2023,4,2,Wednesday
103,2023-04-13,2023,4,2,Thursday
104,2023-04-14,2023,4,2,Friday
